,artist_name,count,Id
137,nana lee,8714,21808
138,caf waiting love,8679,4543
139,katy perry,8655,16270
140,eminem,8634,9415
141,ellie goulding,8585,9285
142,jason mraz,8575,14304
143,exid,8537,9843
144,silence wang,8516,27547
145,apink,8388,1885
146,amber kuo,8283,1175
147,bigbang taeyang,8188,3376
148,carly rae jepsen,8180,4806
149,mariah carey,8094,19533
150,aoa,8074,1858
151,justin timberlake,7957,15894
152,tfboys,7916,29796
153,wiz khalifa,7857,33905
154,herstory with mayday,7855,12577
155,vanness wu,7774,32951
156,clean bandit,7774,5991
157,victor wong,7666,33126
158,nicky lee,7638,22291
159,crush,7635,6512
160,mc hotdog,7475,20142
161,akdong musician akmu,7449,567
162,sandy lam,7444,26542
163,alien huang,7330,951
164,drake,7274,8646
165,iu,7197,13668
166,freya lim,7186,10786
167,hoshino gen,7150,12879
168,beyond,7117,3271
169,alesso,7020,747
170,patrick brasca,7014,23533
171,ne,6936,21993
172,fire ex,6893,10265
173,joyce chu,6888,15589
174,linkin park,6772,18155
175,sammi cheng,6672,26461
176,kimberley,6672,16790
177,emil chau,6631,9380
178,christopher,6582,5723
179,rosie,6550,25938
180,meghan trainor,6548,20254
181,john mayer,6485,15207
182,george michael,6445,11225
183,john legend,6426,15192
184,kana nishino,6424,16047
185,crowd lu,6413,6503
186,redfoo,6373,25118
187,exo chanyeol punch,6266,9860
188,starr chen,6250,28559
189,io io,6242,13544
190,tiger huang,6170,31654
191,g dragon,6137,10923
192,got,6098,11657
193,mike posner,6081,20735
194,colbie caillat,6065,6138
195,soft lipa,6062,28047
196,super junior,6041,29116
197,genie zhuo,6013,11178
198,fang wu,5995,10006
199,the xx,5974,31393
200,alex to,5926,834
201,michael wong,5919,20577
202,james arthur,5854,14053
203,cnblue,5844,6068
204,ian chen,5829,13194
205,deserts xuan,5795,7663
206,jessie j,5787,14742
207,shinee,5745,27361
208,dino lee,5738,7896
209,beyonc,5691,3266
210,fs fuying sam,5586,10829
211,da mouth,5583,6720
212,ailee,5573,520
213,lara,5548,17490
214,usher,5464,32829
215,p nk,5434,23254
216,selena gomez,5396,26954
217,i o i,5365,13159
218,master s sun,5335,19872
219,men envy children,5332,20337
220,marshmello,5325,19714
221,evan yo,5299,9775
222,a do,5292,29
223,michael giacchino,5261,20511
224,zayn taylor swift,5242,34684
225,little mix,5209,18256
226,jeff chang,5200,14526
227,spexial,5197,28393
228,galantis,5149,10997
229,wanting qu,5041,33464
230,kelly clarkson,4955,16411
231,grady guan,4921,11696
232,justin hurwitz,4918,15879
233,minute,4907,20890
234,olivia ong,4834,22899
235,teresa teng,4829,29741
236,martin garrix bebe,4822,19733
237,britney spears,4816,4242
238,bon jovi,4815,3883
239,jonas blue,4809,15366
240,mika nakashima,4754,20705
241,sam kim,4744,26397
242,mike perry,4738,20733
243,nicholas teo,4733,22221
244,dave wang,4724,7143
245,ftisland,4686,10833
246,three people,4672,31571
247,rae sremmurd,4574,24810
248,terry lin,4569,29763
249,lukas graham,4565,18840
250,valen hsu,4564,32870
251,soyou,4554,28318
252,joanna wang,4552,14995
253,alan kuo,4552,648
254,hins cheung,4499,12683
255,martin garrix,4498,19732
256,daniel,4495,6906
257,ti sto,4486,31603
258,far east movement,4486,10020
259,dr soo wincci,4462,8632
260,boa,4425,3756
261,namie amuro,4396,21796
262,austin mahone,4388,2295
263,tom chang,4388,31873
264,armin van buuren,4368,2005
265,anthony neely,4359,1782
266,dizzy dizzo,4347,8017
267,eddy kim,4323,8994
268,jane zhang,4302,14185
269,westlife,4288,33628
270,ronald cheng,4286,25862
271,steve chou,4281,28725
272,katncandix,4270,16251
273,birdy,4262,3490
274,michael jackson,4256,20518
275,beast,4249,2896
276,t yoonmirae,4236,29396
277,matzka,4222,20010
278,vivian hsu,4202,33278
279,hyuna,4194,13102
280,che nelle,4180,5244
281,roger yang,4167,25796
282,chris yu,4162,5597
283,maggie chiang,4113,19155
284,volume,4083,33332
285,erika,4043,9628
286,jacky wu,4042,13908
287,ikimonogakari,4011,13285
288,ben wu,4007,3066
289,b a,3995,2440
290,seventeen,3993,27090
291,canace wu,3949,4658
292,chris brown,3937,5523
293,kylie minogue,3929,17276
294,shinhwa,3920,27363
295,passenger,3873,23486
296,astro bunny,3851,2177
297,sistar,3851,27715
298,aaron yan,3847,160
299,gfriend,3825,11285
300,winnie hsin,3814,33859
301,demi lovato,3777,7572
302,mark ronson feat,3748,19645
303,lee hi,3733,17716
304,cindy yen,3707,5824
305,x,3706,34067
306,aska yang,3700,2155
307,coke lee,3666,6134
308,celine dion,3646,5000
309,davichi,3632,7149
310,stella chang,3618,28640
311,alicia keys,3594,942
312,halsey,3540,12091
313,akon,3523,596
314,danson tang,3518,7005
315,jeannie hsieh,3480,14500
316,no party for,3449,22494
317,red velvet,3443,25111
318,ayumi hamasaki,3422,2415
319,lyn,3410,18950
320,snakehips m,3406,27975
321,inc,3400,13399
322,urban zakapa,3384,32806
323,jason derulo,3365,14290
324,madonna,3364,19131
325,joonil jung,3350,15417
326,bobby chen,3349,3805
327,gigi leung,3348,11345
328,j cole,3343,13741
329,cosmos people,3341,6342
330,sarah chen,3313,26606
331,the black eyed,3294,29972
332,f x,3292,9910
333,zara larsson,3291,34670
334,lion,3279,18166
335,kenny g,3250,16501
336,gj,3249,11449
337,boxing,3247,4019
338,abin fang,3247,196
339,sam smith,3235,26411
340,wham,3194,33638
341,steve aoki louis,3175,28716
342,michael bubl,3161,20489
343,infinite,3161,13440
344,jason chen,3155,14272
345,miley cyrus,3134,20796
346,pentatonix,3103,23731
347,jing wen,3099,14900
348,leo ku,3097,17848
349,btob,3084,4364
350,hardwell,3078,12222
351,gnash,3056,11520
352,frozen,3041,10825
353,kygo,3035,17255
354,cash cash,3019,4889
355,samuel tai,3019,26499
356,ann,3004,1675
357,epik high,2995,9545
358,tsai chin,2973,32392
359,queen,2951,24650
360,norah jones,2951,22577
361,tiger hu,2941,31653
362,t ara,2935,29338
363,matilda tao,2926,19913
364,jing chang,2909,14899
365,popu lady,2909,24341
366,jeno liu,2904,14608
367,namewee,2894,21793
368,lmfao,2866,18326
369,nicki minaj,2851,22281
370,dua lipa,2824,8738
371,eli hsieh,2822,9204
372,misia,2813,20938
373,clementine,2810,6002
374,stanley huang,2771,28531
375,fall out boy,2768,9977
376,rich chigga,2764,25398
377,nico kim,2752,22299
378,kesha,2700,16549
379,jocie guo,2678,15010
380,robin schulz david,2676,25711
381,stanly hsu,2630,28534
382,daniel chan,2617,6920
383,pm,2616,24250
384,my love from,2608,21653
385,green day,2600,11774
386,aimer,2590,527
387,best piano classics,2586,3209
388,shiny,2532,27375
389,nelly,2517,22039
390,v k,2503,32849
391,jennifer lopez,2497,14588
392,juju,2484,15680
393,mavis fan,2471,20027
394,mixer,2466,21000
395,pitch perfect soundtrack,2453,24157
396,craig david,2448,6416
397,fahrenheit,2444,9950
398,ne yo,2443,21995
399,shunza,2443,27471
400,jay park,2427,14374
401,evonne hsu,2420,9822
402,kevin kern,2419,16564
403,air supply,2410,535
404,lie gramophone,2393,17994
405,flume,2381,10434
406,joi chua,2373,15322
407,the script,2364,31055
408,shakira,2353,27164
409,leona lewis,2350,17866
410,lana del rey,2348,17458
411,dnce,2337,8387
412,christina aguilera,2332,5630
413,lulu,2327,18878
414,daniel chen,2324,6921
415,nicholas tse,2310,22222
416,rose liu,2295,25924
417,daniel powter,2289,6937
418,nct,2279,21988
419,nana mizuki,2267,21809
420,jack johnson,2263,13857
421,yo yo ma,2261,34318
422,aaron kwok,2261,151
423,backstreet boys,2258,2555
424,maxi kingdom,2253,20073
425,loco punch,2244,18359
426,vic yang,2231,33090
427,jason chang,2226,14271
428,akb,2225,565
429,peter pan,2209,23840
430,richard clayderman,2208,25417
431,ktv,2201,17176
432,standing egg,2184,28528
433,sharon kwan,2180,27228
434,irene luo,2156,13557
435,david bowie,2150,7166
436,sung si kyung,2141,29062
437,hyolyn,2136,13085
438,ekin cheng,2135,9096
439,seohyun,2135,26993
440,twilight soundtrack,2134,32490
441,d l daniel,2130,6681
442,jungyup,2121,15815
443,james blunt,2120,14059
444,karry wang,2117,16160
445,yida huang,2111,34289
446,mamamoo,2097,19285
447,zayn,2091,34683
448,twins,2090,32502
449,pikotaro,2090,24091
450,selina,2081,26963
451,eric moo,2066,9591
452,against the current,2065,447
453,tarcy su,2044,29555
454,the age of,2044,29839
455,boyce avenue,2044,4031
456,aaa,2038,137
457,dicky cheung,2037,7798
458,tinie tempah,2028,31746
459,troye sivan,2024,32358
460,tove lo,2018,32126
461,kelly chen,2016,16410
462,gd x taeyang,2012,11137
463,may sun,2005,20097
464,high school musical,1990,12636
465,ikon,1984,13289
466,fiona sit,1979,10256
467,robbie williams,1972,25635
468,rachel platten,1963,24767
469,rain,1957,24841
470,mako,1952,19243
471,the piano guys,1951,30902
472,sun hee lee,1948,29040
473,pharrell williams,1947,23888
474,alex,1943,751
475,hush,1936,13048
476,eagles,1923,8886
477,jess glynne,1907,14689
478,andy hui,1896,1518
479,alessia cara,1891,741
480,step up original,1882,28647
481,hikaru utada,1873,12650
482,olly murs,1873,22914
483,yuki hsu,1864,34550
484,charli xcx,1846,5168
485,andrea bocelli,1839,1425
486,hello nico,1836,12495
487,y j,1828,34157
488,sky wu,1815,27804
489,baek a yeon,1814,2599
490,the one,1806,30849
491,michelle vickie,1804,20612
492,winner,1795,33857
493,koala liu,1791,16973
494,yali huang,1783,34170
495,dwagie,1782,8826
496,owl city,1775,23221
497,a sun,1774,106
498,the beatles,1768,29923
499,will i am,1759,33778
500,frand,1756,10611
501,yiruma,1752,34298
502,vox,1751,33342
503,kyuhyun,1742,17292
504,jazz caf,1741,14432
505,roy kim kim,1740,25980
506,rimi natsukawa,1739,25532
507,g eazy,1723,10925
508,iggy azalea,1719,13270
509,kang kang,1716,16063
510,second chance soundtrack,1705,26890
511,lady antebellum,1704,17395
512,wonder girls,1702,33941
513,eir aoi,1699,9091
514,one two free,1693,22978
515,desiigner,1692,7666
516,dawei huang,1692,7301
517,leslie cheung,1688,17919
518,skrillex diplo,1677,27785
519,vixx,1677,33287
520,aggie,1676,455
521,leon lai,1670,17862
522,reply original soundtrack,1666,25304
523,whitney houston,1664,33709
524,jaydaone,1663,14405
525,park boram,1662,23407
526,v bts jin,1658,32844
527,michelle pan,1655,20609
528,run the jewels,1649,26076
529,jos james,1620,15471
530,years years,1620,34233
531,macklemore ryan lewis,1618,19075
532,lenka,1613,17827
533,rynn lim,1611,26163
534,energy,1608,9484
535,william so,1606,33815
536,awaking,1599,2360
537,afrojack,1598,426
538,ken vixx,1596,16452
539,kanye west,1593,16081
540,childish gambino,1590,5384
541,carpenters,1584,4848
542,aoi teshima,1582,1863
543,bebe rexha,1562,2942
544,yvonne hsieh,1562,34625
545,ciara,1555,5792
546,luantan ascent,1552,18728
547,jessica,1551,14721
548,xia,1550,34104
549,the imperial doctress,1550,30498
550,jeff huang machi,1543,14530
551,aka dj didilong,1538,560
552,emma wu,1531,9439
553,may j,1527,20093
554,superband,1526,29129
555,m,1521,18977
556,rixton,1521,25583
557,joe hisaishi,1515,15040
558,mavis hee,1510,20029
559,kehlani,1508,16353
560,train,1502,32167
561,nylon chen,1492,22703
562,ivy yan,1485,13702
563,jr,1481,15613
564,sekai no owari,1476,26945
565,jung hung,1474,15793
566,lucy rose,1470,18799
567,ai otsuka,1468,504
568,monsta x,1466,21187
569,b o b,1459,2471
570,leo,1440,17841
571,lil wayne wiz,1438,18075
572,james bay,1438,14056
573,robin schulz,1435,25710
574,cm,1434,6062
575,nogizaka,1431,22531
576,chen li,1428,5280
577,chris liao,1424,5558
578,tracy huang,1418,32153
579,janet jackson,1413,14191
580,the chairman,1409,30060
581,pu shu,1407,24543
582,wang leehom tan,1404,33450
583,chainz wiz khalifa,1403,5064
584,kay tse,1400,16290
585,exile,1400,9844
586,jessie chiang,1393,14738
587,stacey kent,1387,28494
588,nick jonas,1381,22258
589,fergie,1376,10174
590,sandee chan,1374,26516
591,kym kum,1373,17279
592,tiffany,1371,31634
593,julie su,1370,15739
594,classics for mommy,1368,5953
595,kobukuro,1362,16977
596,a ga tsai,1359,44
597,blue,1355,3699
598,tvxq,1334,32473
599,various,1331,32962
600,jpm,1330,15612
601,x exo,1323,34075
602,alex goot,1321,783
603,diddy dirty money,1320,7799
604,b a p,1318,2442
605,kyary pamyu pamyu,1318,17253
606,bee gees,1316,2967
607,monkey majik,1312,21167
608,keung hang,1311,16554
609,poetek,1310,24262
610,debbie hsiao,1307,7426
611,carrie underwood,1305,4851
612,roy kim,1301,25978
613,jia,1294,14789
614,jung joon young,1293,15796
615,michael shih,1292,20559
616,super junior donghae,1290,29117
617,tohoshinki,1288,31835
618,qiu feng ze,1288,24618
619,alex goot feat,1286,784
620,vast hazy,1282,33004
621,super,1282,29098
622,dick and cowboy,1277,7790
623,trash,1276,32196
624,shota shimizu,1271,27440
625,koda kumi,1271,16980
626,ellen loo,1265,9279
627,fetty wap,1264,10192
628,ha hyeon woo,1262,12025
629,the fray,1261,30338
630,billboard masters,1261,3418
631,wagakki band,1260,33395
632,emeli sande,1260,9364
633,butterfly chien,1258,4466
634,lisa,1256,18189
635,exo cbx,1255,9859
636,bonobo,1248,3905
637,muse,1246,21533
638,derrick hoh,1242,7654
639,kit chan,1239,16891
640,skrillex,1238,27782
641,egoist,1236,9069
642,vchuan,1235,33013
643,the chainsmokers feat,1234,30058
644,hailee steinfeld,1232,12051
645,deadmau,1229,7388
646,flumpool,1223,10436
647,miwa,1222,20996
648,calvin harris disciples,1219,4614
649,wonfu,1217,33950
650,s e s,1217,26203
651,lily allen,1217,18094
652,girl hei girl,1214,11403
653,guess what,1213,11898
654,greeeen,1209,11771
655,monique lin,1206,21162
656,taetiseo,1205,29420
657,magic,1202,19162
658,x ambassadors,1201,34068
659,hocc,1200,12775
660,mr xy miss,1200,21452
661,dj khaled,1199,8179
662,olivia yan,1199,22903
663,matt terry,1195,19963
664,simple plan,1192,27633
665,sigma,1186,27532
666,do as infinity,1185,8389
667,heize,1185,12467
668,hyoyeon,1183,13086
669,wendy seulgi,1182,33612
670,michael victor,1181,20572
671,smashregz,1177,27924
672,a si,1174,101
673,thomas rhett,1172,31541
674,sohn,1167,28058
675,d r a,1165,6695
676,chase chang,1165,5228
677,dillon francis,1165,7861
678,the rolling stones,1161,31008
679,m a d,1158,18979
680,oasis,1155,22729
681,silento,1152,27559
682,gabrielle aplin,1151,10971
683,gong,1149,11602
684,secret garden ost,1148,26901
685,kris wu,1141,17104
686,ayaka,1141,2394
687,bastille,1140,2828
688,sam hunt,1138,26394
689,issac dang,1131,13624
690,aniu,1130,1651
691,kowen,1121,17056
692,angel mama story,1120,1554
693,psy,1115,24532
694,cincin lee,1112,5819
695,zico,1108,34754
696,enya,1106,9528
697,kid cudi,1105,16628
698,real,1104,25061
699,lorde,1103,18456
700,hacken lee,1103,12033
701,daughtry,1100,7104
702,christina perri,1098,5638
703,destiny s child,1097,7675
704,dj elvis,1092,8105
705,grasshopper,1091,11733
706,omi,1091,22948
707,every little thing,1090,9800
708,dawin,1089,7303
709,f,1088,9895
710,sweety,1087,29255
711,enrique iglesias,1085,9509
712,austra,1073,2300
713,jerry lo,1067,14673
714,sally yeh,1063,26360
715,jonghyun,1057,15390
716,migos,1055,20684
717,otto knows,1054,23182
718,meeia foo,1054,20228
719,spyair,1051,28456
720,trouble maker,1049,32349
721,london grammar,1048,18408
722,sarah mclachlan,1043,26616
723,suming,1042,29016
724,suzy bae,1041,29201
725,tinashe,1038,31735
726,yun ha park,1037,34570
727,christmas hits christmas,1035,5671
728,gwen stefani,1034,11974
729,quarterback,1033,24637
730,foxes,1032,10548
731,mark chang,1026,19617
732,caf bossa,1022,4537
733,big sean,1022,3362
734,seconds of summer,1022,26896
735,cent,1019,5022
736,madilyn bailey,1019,19117
737,eric suen,1019,9602
738,zion t,1017,34770
739,radiohead,1012,24797
740,mai kuraki,1012,19202
741,r city feat,1010,24712
742,taemin,1009,29419
743,martin garrix dua,1006,19734
744,n p e,1005,21728
745,flow,1002,10422
746,t i,1001,29349
747,alex lee,1001,802
748,kaskade,1000,16177
749,crispy,995,6472
750,js,994,15617
751,krewella,992,17089
752,fun,991,10855
753,yu takahashi,989,34534
754,alan tam,984,656
755,charice,983,5130
756,angelica lee,980,1578
757,garnidelia,977,11059
758,nana tan,976,21814
759,hip hop,975,12688
760,d c w,974,6655
761,perfume,974,23767
762,lin xin yang,971,18121
763,florida georgia line,968,10410
764,the drifters,967,30231
765,lollipop,967,18394
766,girl s day,966,11408
767,bluej,961,3737
768,the writers,958,31386
769,w inds,957,33375
770,gd t o,955,11136
771,justice,953,15862
772,phil lam,951,23911
773,peggy hsu,947,23707
774,henry super junior,947,12537
775,lydia hu,946,18942
776,andy grammer,946,1516
777,sheena ringo,945,27298
778,carla bruni,940,4773
779,pussycat dolls,939,24599
780,baek z young,938,2601
781,rumer,937,26072
782,elvis presley,936,9334
783,the,934,29823
784,cyndi chaw,934,6616
785,glee the music,932,11467
786,amin,930,1264
787,light classics,928,18010
788,easy shen,926,8934
789,tony bennett,923,31997
790,sarah brightman,922,26602
791,mao,920,19395
792,phil collins,919,23900
793,t m revolution,919,29361
794,dimitri vegas like,918,7874
795,jeong eun ji,917,14624
796,take that,917,29462
797,dreaming,916,8680
798,yuzu,916,34616
799,r kelly,915,24726
800,nicki minaj mike,914,22284
801,post malone,912,24363
802,g na,911,10937
803,savage garden,909,26658
804,tez cadey,909,29795
805,damien rice,907,6803
806,yg,907,34287
807,yellow claw,905,34249
808,machine gun kelly,902,19057
809,jolin tsai alesso,901,15335
810,abba,900,170
811,rei yasuda,897,25171
812,mobb ikon bobby,889,21045
813,adam lambert,888,314
814,new formosa band,888,22131
815,jc,888,14460
816,keane,886,16334
817,tifa chen,884,31632
818,little big town,883,18238
819,music and lyrics,882,21538
820,chemistry,881,5277
821,niall horan,881,22203
822,taio cruz,881,29439
823,ac,880,230
824,ye qi tian,879,34221
825,elton john,878,9314
826,kelly,877,16408
827,nicki minaj jessie,877,22283
828,sway,876,29228
829,jed kurzel,875,14504
830,amy winehouse,875,1325
831,jay z,872,14394
832,sechskies,868,26888
833,titan,862,31760
834,juniel,861,15817
835,moumoon,860,21343
836,nine inch nails,860,22429
837,shio,858,27376
838,carnage,858,4818
839,san e,858,26504
840,a mei stefanie,858,76
841,daft punk,857,6743
842,yao yao,856,34206
843,jesse mccartney,856,14706
844,celest zhang,855,4991
845,pigheadskin,855,24084
846,rod stewart,852,25763
847,big bang fuzz,851,3312
848,sandaime j soul,849,26515
849,frank sinatra,848,10634
850,sg wannabe,847,27128
851,transition,846,32183
852,bbf,844,2862
853,rupert gregson williams,843,26095
854,wolfgang amadeus mozart,842,33925
855,seven,839,27078
856,nelly furtado,839,22040
857,future,837,10890
858,ivana wong,833,13682
859,cherry boom,830,5300
860,jy,828,15918
861,chet baker,828,5321
862,angel hou,826,1551
863,lay,826,17623
864,lionel richie,825,18173
865,aqua timez,824,1909
866,guns n roses,822,11936
867,boyz ii men,821,4051
868,alexandros alexandros,820,878
869,k,820,15927
870,james newton howard,819,14099
871,tycho,816,32536
872,nicholas tse kenny,811,22223
873,lawson,811,17620
874,fisheer,811,10298
875,james morrison,811,14097
876,dream,810,8662
877,bondo,808,3890
878,infinite challenge,807,13441
879,laura marling,806,17571
880,bowen,804,4010
881,dream high ost,803,8671
882,ep,802,9534
883,toshinobu kubota,802,32100
884,coffee boy,797,6117
885,selena gomez the,797,26955
886,ella fitzgerald,794,9257
887,sara bareilles,793,26583
888,kara,793,16096
889,the wanted,792,31317
890,grace vanderwaal,792,11688
891,w w,791,33379
892,clazziquai project,790,5989
893,kiiara,788,16692
894,halestorm,788,12066
895,steve aoki,787,28707
896,calum scott,786,4610
897,nat king cole,785,21862
898,hcc,781,12367
899,this is love,779,31489
900,robin thicke,778,25716
901,charan po rantan,775,5129
902,dj snake lil,774,8304
903,yui,773,34539
904,suran,773,29158
905,karen aoki,772,16121
906,aerosmith,772,402
907,wa wa,769,33389
908,a great big,769,49
909,keyakizaka,769,16582
910,u,768,32586
911,ohashi trio,768,22819
912,masters,767,19878
913,gary,767,11066
914,miss a,767,20943
915,guy sebastian,767,11966
916,charlene choi mayao,766,5137
917,bedtime songs collective,765,2966
918,tracy wang,765,32156
919,good night,760,11621
920,pia,758,23991
921,rita ora,756,25556
922,gen neo,755,11152
923,niel,754,22338
924,wale,753,33411
925,vivian chow,752,33275
926,king wang,749,16836
927,red hot chili,746,25103
928,bob dylan,746,3767
929,barbra streisand,745,2739
930,snoop dogg,743,27993
931,morning call,742,21269
932,sam tsui,741,26417
933,block b,740,3664
934,spy c chen,739,28454
935,tim mcgraw,738,31688
936,nikolaus harnoncourt concentus,738,22403
937,justin lo,737,15880
938,ape,735,1879
939,richard marx,735,25437
940,michael learns to,734,20531
941,hyukoh,732,13100
942,chthonic,731,5747
943,chris botti,730,5521
944,tizzy bac,730,31778
945,diana krall,730,7773
946,sting,728,28817
947,all about love,728,977
948,hilary duff,727,12652
949,porter robinson madeon,727,24353
950,jamiroquai,726,14140
951,theodore shapiro,726,31442
952,shin yong jae,725,27357
953,zee avi,725,34709
954,lim seul ong,724,18112
955,icona pop,724,13240
956,justin chung,723,15873
957,sasha li,722,26638
958,soundtoy,721,28290
959,candy lo,721,4675
960,iris lin,721,13561
961,hailee steinfeld grey,721,12052
962,bii andrew tan,720,3388
963,hayley westenra,720,12353
964,jasmine thompson,719,14261
965,kill me heal,717,16704
966,college kingdom,716,6169
967,com z,716,6190
968,john lennon,715,15195
969,seo in guk,713,26986
970,paul van dyk,711,23630
971,dj snake alunageorge,709,8301
972,snakehips,706,27974
973,vaults,703,33007
974,earth wind fire,703,8909
975,skrillex rick ross,701,27787
976,soft lipa jabberloop,701,28048
977,makiyo,701,19239
978,jung seung hwan,700,15798
979,dean,697,7395
980,burlesque original motion,697,4436
981,billie holiday,697,3423
982,pauline lan,696,23645
983,xmas stars,694,34125
984,sejeong,694,26942
985,afalean lu,694,409
986,v a,694,32842
987,spa,693,28322
988,murmurshow,693,21524
989,cl ne,693,5874
990,dancing good good,691,6885
991,kiesza,691,16686
992,wiley,690,33762
993,echo spirit,689,8948
994,sigala,686,27527
995,frederic chopin,684,10724
996,shoko nakagawa,684,27421
997,winnie ho,683,33858
998,lim giong,682,18108
999,supercell,680,29132
1000,pa pun band,680,23266
1001,blake shelton,680,3619
1002,kevin lin,679,16566
1003,kings of convenience,679,16843
1004,miriam yeung,679,20916
1005,ronan keating,677,25869
1006,anita mui,676,1647
1007,kim jong kook,675,16752
1008,for the little,674,10490
1009,crayon pop,673,6434
1010,louisa johnson,672,18590
1011,travis,672,32208
1012,ilid kaolo,671,13302
1013,the hunger games,671,30490
1014,chage and aska,669,5061
1015,sunshine,667,29085
1016,angus tung,667,1618
1017,hardwell jay sean,667,12235
1018,stan getz,664,28516
1019,dillon francis dj,664,7862
1020,metallica,661,20401
1021,thunder,660,31590
1022,dr dre,659,8620
1023,angela aki,659,1563
1024,teresa,656,29737
1025,kodaline,654,16983
1026,m m,652,19002
1027,she him,652,27283
1028,orange range,651,23044
1029,radio mars,650,24793
1030,sonamoo,650,28139
1031,lollipop f,648,18395
1032,sigur r s,647,27538
1033,ai,647,501
1034,boi,647,3862
1035,wallace chung,647,33425
1036,o t genasis,645,22724
1037,malas kao,645,19254
1038,chicago,645,5345
1039,kelly poon,643,16417
1040,zayin,642,34681
1041,eric clapton,641,9572
1042,evanescence,641,9777
1043,super junior m,641,29119
1044,hoop kids,641,12858
1045,j pop,638,13786
1046,jung yong hwa,638,15799
1047,all one,637,998
1048,ultimate r b,636,32659
1049,naughty boy,634,21964
1050,mac miller,632,19048
1051,mark ronson,627,19644
1052,stevie wonder,626,28793
1053,haor,626,12190
1054,come on bay,626,6193
1055,valentine s day,625,32875
1056,chay,624,5240
1057,tolaku,623,31862
1058,li jian,621,17970
1059,antonio huang,621,1818
1060,maffine,621,19145
1061,thomas newman,620,31534
1062,fedde le grand,620,10106
1063,edison chen,616,9011
1064,l arc en,615,17302
1065,k will,614,15981
1066,kousuke atari,614,17053
1067,fitz and the,610,10311
1068,christmas joy,610,5677
